Study,Zaza_Eco,Nicole_Eco,Diff_Eco,Zaza_The,Nicole_The,Diff_The,Zaza_Unc,Nicole_Unc,Diff_Unc,Zaza_Sca,Nicole_Sca,Diff_Sca,Zaza_Sta,Nicole_Sta,Diff_Sta,Zaza_Int,Nicole_Int,Diff_Int,Total_Diff
1,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,2,1,0
2,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
3,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,2,1,0
4,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
5,3,3,0,3,3,0,2,1,1,2,3,1,3,2,1,3,3,0,2
6,3,2,1,3,2,1,2,1,1,2,2,0,3,2,1,3,2,1,5
7,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
8,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,2,1,0
9,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
10,3,3,0,2,3,1,1,2,1,2,2,0,3,3,0,3,3,0,2
11,3,2,1,2,3,1,2,1,1,2,2,0,3,1,2,3,2,1,6
12,3,3,0,2,3,1,3,2,1,1,1,0,3,2,1,3,2,1,3
13,3,3,0,3,3,0,2,2,0,2,2,0,3,2,1,3,2,1,2
14,3,2,1,2,1,1,1,0,1,2,1,1,3,1,2,3,1,2,8
15,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
16,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
17,3,3,0,3,3,0,2,2,0,1,1,0,3,3,0,3,3,0,0
18,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,3,0,0
19,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
20,3,3,0,3,3,0,2,2,0,2,2,0,1,1,0,2,2,0,0
21,3,2,1,3,2,1,1,0,1,2,2,0,3,2,1,2,2,0,4
22,3,3,0,2,2,0,1,1,0,2,2,0,3,3,0,3,3,0,0
23,3,3,0,3,3,0,2,3,1,2,2,0,3,3,0,3,3,0,1
24,3,3,0,3,3,0,1,1,0,1,1,0,3,3,0,3,3,0,0
25,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
26,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
27,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
28,3,3,0,2,2,0,2,2,0,2,2,0,3,2,1,3,3,0,0
29,3,3,0,2,2,0,2,2,0,2,2,0,2,2,0,3,2,1,0
30,3,3,0,3,3,0,1,1,0,2,2,0,1,1,0,3,3,0,0
31,3,3,0,3,3,0,2,2,0,2,2,0,1,1,0,3,3,0,0
32,3,3,0,3,3,0,1,1,0,2,2,0,2,2,0,3,3,0,0
33,3,3,0,3,3,0,1,2,1,2,2,0,3,2,1,3,3,0,2
34,3,3,0,3,3,0,1,1,0,3,3,0,2,1,1,3,3,0,0
35,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
36,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
37,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
38,3,3,0,2,2,0,1,1,0,2,2,0,3,2,1,3,3,0,0
39,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
40,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,2,2,0,0
41,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0
42,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
43,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,3,0,0
44,3,3,0,2,2,0,1,1,0,2,2,0,3,3,0,3,3,0,0
45,3,3,0,3,3,0,2,1,2,3,2,1,3,3,0,3,3,0,0
46,3,3,0,3,3,0,1,1,0,2,2,0,2,2,0,3,3,0,0
47,3,3,0,3,3,0,1,1,0,2,2,0,2,2,0,3,3,0,0
48,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
49,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
50,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
51,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
52,3,3,0,3,3,0,1,1,0,2,2,0,2,2,0,3,3,0,0
53,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,2,1,0
54,3,3,0,3,3,0,1,2,1,2,1,1,3,3,0,3,2,1,3
55,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
56,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
57,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
58,2,2,0,3,3,0,1,1,0,3,3,0,3,3,0,3,3,0,0
59,3,3,0,3,3,0,1,1,0,2,2,0,3,2,1,3,3,0,0
60,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
61,3,3,0,2,2,0,1,1,0,3,3,0,3,3,0,3,3,0,0
62,3,3,0,3,3,0,2,1,1,2,2,0,3,3,0,3,3,0,0
63,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
64,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
65,3,3,0,3,3,0,1,1,0,3,3,0,3,3,0,3,3,0,0
66,3,3,0,3,3,0,2,2,0,3,3,0,2,2,0,3,3,0,0
67,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
68,3,3,0,3,3,0,2,2,0,2,1,1,3,2,1,3,3,0,2
69,3,2,1,3,2,1,2,1,1,3,2,1,3,1,2,3,2,1,6
70,3,3,0,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,0
71,3,2,1,3,3,0,1,2,1,2,1,1,1,1,0,3,3,0,3
72,3,3,0,3,3,0,1,1,0,2,1,1,3,2,1,3,3,0,1
73,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,3,0,0
74,3,3,0,3,3,0,2,2,0,2,1,1,3,3,0,3,2,1,0
75,3,3,0,2,2,0,1,1,0,2,2,0,3,3,0,3,3,0,0
76,3,3,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,0
77,3,3,0,3,3,0,1,1,0,2,2,0,3,3,0,3,3,0,0
78,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,2,1,0
79,3,3,0,2,2,0,1,1,0,3,2,1,3,3,0,3,3,0,0
80,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
81,3,2,1,3,3,0,2,1,1,3,3,0,3,3,0,3,3,0,2
82,3,3,0,3,2,1,2,0,2,2,2,0,3,2,1,3,2,1,5
83,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,2,1,0
84,3,2,1,3,3,0,1,0,1,3,2,1,3,1,2,3,2,1,6
85,3,3,0,3,3,0,2,2,0,2,1,1,3,3,0,3,3,0,0
86,3,3,0,3,2,1,2,2,0,3,3,0,1,1,0,3,3,0,0
87,0,0,0,3,3,0,1,1,0,2,2,0,3,3,0,2,2,0,0
88,0,1,1,3,2,1,1,1,0,2,2,0,1,1,0,2,2,0,2
89,0,0,0,3,3,0,1,1,0,2,2,0,2,2,0,1,1,0,0
90,3,2,1,2,3,1,2,2,0,2,2,0,2,2,0,3,3,0,2
91,3,2,1,3,3,0,2,2,0,2,2,0,3,1,2,3,1,2,5
92,3,3,0,3,3,0,2,2,0,2,2,0,1,1,0,2,2,0,0
93,3,1,2,3,3,0,2,2,0,3,3,0,3,1,2,3,2,1,5
94,3,3,0,3,2,1,3,3,0,2,2,0,2,2,0,3,3,0,0
95,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
96,3,1,2,3,2,1,2,0,2,3,2,1,3,1,2,3,2,1,9
97,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
98,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0
99,3,2,1,3,3,0,3,1,2,3,2,1,3,2,1,3,2,1,6
100,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
101,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
102,3,3,0,2,2,0,1,1,0,3,3,0,3,3,0,1,1,0,0
103,3,3,0,2,2,0,1,1,0,2,2,0,3,3,0,2,2,0,0
104,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,3,0,0
105,3,3,0,2,1,1,3,2,1,2,2,0,2,1,1,3,3,0,0
106,3,2,1,3,2,1,1,1,0,2,0,2,3,1,2,3,2,1,7
107,3,3,0,3,3,0,1,1,0,3,3,0,3,3,0,3,3,0,0
108,3,2,1,3,3,0,2,1,1,2,2,0,3,2,1,3,3,0,3
109,3,3,0,3,3,0,3,2,1,3,3,0,2,2,0,3,3,0,0
110,3,2,1,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
111,3,3,0,3,3,0,3,2,1,3,3,0,3,3,0,3,2,1,2
112,3,3,0,3,3,0,2,1,1,2,2,0,3,3,0,3,3,0,0
113,3,2,1,3,2,1,2,2,0,3,2,1,3,2,1,3,2,1,3
114,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,0
115,3,3,0,3,3,0,2,2,0,2,2,0,3,3,0,3,3,0,0
116,3,3,0,3,2,1,3,2,1,3,3,0,3,3,0,3,2,1,3
117,3,2,1,3,2,1,2,1,1,3,2,1,3,3,0,3,2,1,4
118,3,3,0,3,3,0,3,3,0,3,3,0,3,2,1,3,3,0,0
119,3,3,0,3,3,0,3,2,1,3,3,0,3,3,0,3,3,0,0
120,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,3,3,0,0
121,3,2,1,3,2,1,3,1,2,3,2,1,3,3,0,3,2,1,5
122,3,3,0,3,3,0,2,2,0,3,3,0,3,3,0,2,2,0,0
